dataset,model,Continuous_Mean_WD_mean,Continuous_Mean_WD_std,Continuous_Mean_WD_summary,Continuous_Mean_KL_50bins_mean,Continuous_Mean_KL_50bins_std,Continuous_Mean_KL_50bins_summary,Continuous_Corr_Pearson_mean,Continuous_Corr_Pearson_std,Continuous_Corr_Pearson_summary,mmd_mean,mmd_std,mmd_summary,Discrete_Mean_KL_mean,Discrete_Mean_KL_std,Discrete_Mean_KL_summary,Discrete_Corr_Spearman_mean,Discrete_Corr_Spearman_std,Discrete_Corr_Spearman_summary,Categorical_Mean_KL_mean,Categorical_Mean_KL_std,Categorical_Mean_KL_summary,Categorical_NMI_mean,Categorical_NMI_std,Categorical_NMI_summary,fit_time_mean,fit_time_std,fit_time_summary,tstr_r2_real_mean,tstr_r2_real_std,tstr_r2_real_summary,tstr_r2_synth_mean,tstr_r2_synth_std,tstr_r2_synth_summary,tstr_r2_deviation_%_mean,tstr_r2_deviation_%_std,tstr_r2_deviation_%_summary,tstr_r2_diff_raw_mean,tstr_r2_diff_raw_std,tstr_r2_diff_raw_summary
bank_loan,msbm,0.7906321856947528,1.30032219883185,0.7906 ± 1.3003,0.3344387824802553,0.18496561583707924,0.3344 ± 0.1850,1.869352487860798,2.669207296171437,1.8694 ± 2.6692,0.01869043641394346,0.0006429993575723269,0.0187 ± 0.0006,,,nan ± nan,,,nan ± nan,,,nan ± nan,,,nan ± nan,18.008475399017335,0.019243842210236433,18.0085 ± 0.0192,0.5602753277032907,0.03466091915422077,0.5603 ± 0.0347,0.3125663846428387,0.012040375640906875,0.3126 ± 0.0120,44.087829805926276,3.144569979062263,44.0878 ± 3.1446,0.2477089430604519,0.03209418628415551,0.2477 ± 0.0321
bank_marketing,msbm,0.1850002378403065,0.0030226629957192247,0.1850 ± 0.0030,0.2991935831968557,0.028145877191344575,0.2992 ± 0.0281,0.2809859739235142,0.073181888869772,0.2810 ± 0.0732,0.0094037852077725,0.0005461413220520876,0.0094 ± 0.0005,,,nan ± nan,,,nan ± nan,,,nan ± nan,,,nan ± nan,55.75151696205139,0.2805472820402005,55.7515 ± 0.2805,0.7974326499610311,0.011040090070653505,0.7974 ± 0.0110,0.6077002718346473,0.01941862388530734,0.6077 ± 0.0194,23.778936172179186,2.757197777077103,23.7789 ± 2.7572,0.189732378126384,0.02309219507033664,0.1897 ± 0.0231
california_housing,msbm,0.20380057032322693,0.00865003266156408,0.2038 ± 0.0087,0.30161467322169955,0.02253519067393709,0.3016 ± 0.0225,1.2050074041043162,0.053889005370682676,1.2050 ± 0.0539,0.014275017151379498,0.0005629539844589099,0.0143 ± 0.0006,,,nan ± nan,,,nan ± nan,,,nan ± nan,,,nan ± nan,59.01857724189758,1.64175787191742,59.0186 ± 1.6418,0.8527404557112955,0.0059659772010169825,0.8527 ± 0.0060,0.5079783217195114,0.024513000895712345,0.5080 ± 0.0245,40.42408183525744,2.9905119197894585,40.4241 ± 2.9905,0.34476213399178407,0.02647280167188232,0.3448 ± 0.0265
covertype,msbm,0.1613124114206824,0.0015751596133209498,0.1613 ± 0.0016,0.13058207765263313,0.004711292461154067,0.1306 ± 0.0047,1.4281424147695225,0.032716631948065435,1.4281 ± 0.0327,0.012765174268852719,0.0002461459950143364,0.0128 ± 0.0002,,,nan ± nan,,,nan ± nan,,,nan ± nan,,,nan ± nan,875.7233792304993,7.920559360763779,875.7234 ± 7.9206,0.7713776002413866,0.0018906297134433547,0.7714 ± 0.0019,0.45417154649324354,0.006134817632598845,0.4542 ± 0.0061,41.122229096308715,0.7623238637384709,41.1222 ± 0.7623,0.31720605374814304,0.0058185383544501765,0.3172 ± 0.0058
diabetes,msbm,0.1939086131659302,0.017611459187472405,0.1939 ± 0.0176,0.9797743148537874,0.16792665868375165,0.9798 ± 0.1679,3.86228562923086,0.3122848946017292,3.8623 ± 0.3123,0.0421306926606108,0.005920689771711493,0.0421 ± 0.0059,,,nan ± nan,,,nan ± nan,,,nan ± nan,,,nan ± nan,0.4168994426727295,0.04802353807363822,0.4169 ± 0.0480,0.4055382743888284,0.09897822122079683,0.4055 ± 0.0990,-0.12671277234038986,0.06325705829684031,-0.1267 ± 0.0633,131.63289286903904,17.605176970911664,131.6329 ± 17.6052,0.5322510467292183,0.13527869058125178,0.5323 ± 0.1353
german_credit,msbm,0.2334436970123072,0.01987466337279834,0.2334 ± 0.0199,0.8006129808280245,0.08388055292572724,0.8006 ± 0.0839,0.7065895849104733,0.08768746328725127,0.7066 ± 0.0877,0.029252122714150997,0.005346503203159381,0.0293 ± 0.0053,,,nan ± nan,,,nan ± nan,,,nan ± nan,,,nan ± nan,3.33991117477417,0.1431623302978723,3.3399 ± 0.1432,0.3160918353856898,0.07429972033904286,0.3161 ± 0.0743,0.041002568320679,0.08828540707507475,0.0410 ± 0.0883,89.30274306028248,29.970481825538233,89.3027 ± 29.9705,0.27508926706501075,0.08460001033935717,0.2751 ± 0.0846
king_county_housing,msbm,0.20106149451696576,0.004609215427655184,0.2011 ± 0.0046,0.4256296848659855,0.013006662131128393,0.4256 ± 0.0130,2.609748766543239,0.033936474155219304,2.6097 ± 0.0339,0.025751999525937597,0.0004578073825195003,0.0258 ± 0.0005,,,nan ± nan,,,nan ± nan,,,nan ± nan,,,nan ± nan,99.72597737312317,1.4248967771342205,99.7260 ± 1.4249,0.848623467288321,0.01586351127200872,0.8486 ± 0.0159,0.43503419942148847,0.031803710955952164,0.4350 ± 0.0318,48.70684597493093,4.136156295945213,48.7068 ± 4.1362,0.41358926786683237,0.03922147201258948,0.4136 ± 0.0392
online_news_popularity,msbm,0.25752775163078445,0.02366061287743265,0.2575 ± 0.0237,0.8088246614656291,0.04255695729388408,0.8088 ± 0.0426,5.931663111700489,0.4969014611959769,5.9317 ± 0.4969,0.029474652273918163,0.0011284499495015183,0.0295 ± 0.0011,,,nan ± nan,,,nan ± nan,,,nan ± nan,,,nan ± nan,123.84762988090515,7.510648184163915,123.8476 ± 7.5106,-0.0228462956002518,0.02116071218813625,-0.0228 ± 0.0212,0.0026054483589852398,0.010664302387328333,0.0026 ± 0.0107,-887.7859518270719,1715.6821572596643,-887.7860 ± 1715.6822,-0.02545174395923704,0.020237805057104624,-0.0255 ± 0.0202
online_shoppers,msbm,0.243369771572931,0.010736535422013003,0.2434 ± 0.0107,0.7355422167775666,0.047577823429396565,0.7355 ± 0.0476,1.3212395598770053,0.039821621573766224,1.3212 ± 0.0398,0.023082277397808562,0.002277745463082939,0.0231 ± 0.0023,,,nan ± nan,,,nan ± nan,,,nan ± nan,,,nan ± nan,31.961645984649657,0.0667009882019478,31.9616 ± 0.0667,0.8017303610037917,0.011549956003391225,0.8017 ± 0.0115,0.4092392502665943,0.02651010861105262,0.4092 ± 0.0265,48.94533108750741,3.4138181950229596,48.9453 ± 3.4138,0.39249111073719756,0.02935547593836281,0.3925 ± 0.0294
