dataset,model,Continuous_Mean_WD,Continuous_Mean_KL_50bins,Continuous_Corr_Pearson,mmd,Discrete_Mean_KL,Discrete_Corr_Spearman,Categorical_Mean_KL,Categorical_NMI,fit_time,tstr_r2_real,tstr_r2_synth,tstr_r2_deviation_%,tstr_r2_diff_raw,fold
california_housing,msbm,0.19314431008697777,0.2965018627959317,1.2248564788786882,0.013790002331772744,,,,,56.258748292922974,0.8492503514601059,0.5075006859104756,40.24133342565761,0.34174966554963027,0
california_housing,msbm,0.21128241707119588,0.294294200961356,1.2723568134845415,0.01364337002020577,,,,,59.8582227230072,0.8517964921609436,0.5493290671968876,35.50935320204465,0.302467424964056,1
california_housing,msbm,0.2109429686614585,0.3159789837747073,1.1441801372275175,0.014536513205709034,,,,,58.8898241519928,0.8451833619505875,0.4970820336068713,41.18648615376642,0.3481013283437162,2
california_housing,msbm,0.20776939409292133,0.2711244977465513,1.228143235002172,0.014386833778365804,,,,,60.45787525177002,0.8591207422692988,0.5009083247420121,41.69523559413747,0.3582124175272867,3
california_housing,msbm,0.19586376170358155,0.33017382082995156,1.1555003559286614,0.015018366420844309,,,,,59.62821578979492,0.8583513307155425,0.48507149714131104,43.488000800681036,0.37327983357423145,4
california_housing,msbm,0.203800570323227,0.3016146732216996,1.2050074041043162,0.014275017151379531,,,,,59.01857724189758,0.8527404557112955,0.5079783217195114,40.42408183525744,0.3447621339917841,mean
diabetes,msbm,0.21795223609697847,0.74503561130081,3.7720816632812877,0.041030526334615625,,,,,0.3959057331085205,0.2967292665569127,-0.1620436578197777,154.60993440250954,0.45877292437669037,0
diabetes,msbm,0.17091683597287893,0.8626004892696513,3.671008452315826,0.035871215419450986,,,,,0.5027422904968262,0.3029220917137938,-0.029313852913884997,109.67702710226273,0.3322359446276788,1
diabetes,msbm,0.19391437572840617,1.0593446355223461,3.498400643183192,0.037385330304293196,,,,,0.3940856456756592,0.44035668443844767,-0.17878431251938198,140.59988614624336,0.6191409969578296,2
diabetes,msbm,0.20154611343804252,1.1325121213993352,4.136477949933576,0.04676143612835204,,,,,0.39349889755249023,0.4960746941554247,-0.16713410832485787,133.6913191287466,0.6632088024802826,3
diabetes,msbm,0.1852135045933451,1.0993787167767948,4.233459437440414,0.04960495511634244,,,,,0.39826464653015137,0.49160863507956365,-0.0962879301240469,119.58629756543297,0.5878965652036106,4
diabetes,msbm,0.19390861316593025,0.9797743148537874,3.86228562923086,0.042130692660610855,,,,,0.4168994426727295,0.4055382743888286,-0.12671277234038988,131.63289286903904,0.5322510467292185,mean
online_news_popularity,msbm,0.2998227100939606,0.7368120866623162,5.095686886085769,0.03119140014757371,,,,,137.13367319107056,-0.035002521696962274,-0.016197536107340094,-53.72465947576054,-0.01880498558962218,0
online_news_popularity,msbm,0.24584877697648821,0.8150970065343429,6.288041226783837,0.028874696326491422,,,,,122.41187405586243,0.0001738612244633897,0.007051665401106133,-3955.916103703167,-0.006877804176642743,1
online_news_popularity,msbm,0.24801080058290007,0.8435970906710859,6.239075773543927,0.030004829578771486,,,,,120.10975337028503,-0.016146920201252968,0.010273046127469931,-163.62232549259,-0.0264199663287229,2
online_news_popularity,msbm,0.24631509967107845,0.837165486835669,6.179706721839802,0.02892419234125354,,,,,120.09281802177429,-0.010247057472135834,0.005489728979705344,-153.57371123010887,-0.015736786451841178,3
online_news_popularity,msbm,0.24764137082949497,0.8114516366247311,5.855804950249113,0.028378142975500897,,,,,119.49003076553345,-0.053008839855371415,0.0064103373939849995,-112.09295923373324,-0.059419177249356414,4
online_news_popularity,msbm,0.25752775163078445,0.8088246614656291,5.931663111700489,0.02947465227391821,,,,,123.84762988090515,-0.02284629560025182,0.0026054483589852627,-887.7859518270719,-0.025451743959237084,mean
king_county_housing,msbm,0.19635103253661357,0.42466809159390756,2.619085715070918,0.025986051479770955,,,,,101.32284426689148,0.8375136162007293,0.47629536427189756,43.129836332387164,0.3612182519288317,0
