dataset,model,Continuous_Mean_WD,Continuous_Mean_KL_50bins,Continuous_Corr_Pearson,mmd,Discrete_Mean_KL,Discrete_Corr_Spearman,Categorical_Mean_KL,Categorical_NMI,fit_time,tstr_f1_real,tstr_f1_synth,tstr_f1_deviation_%,tstr_f1_diff_raw,fold,tstr_r2_real,tstr_r2_synth,tstr_r2_deviation_%,tstr_r2_diff_raw
Adult,msbm,0.19853574021025663,0.4652901807255416,0.16164601196782752,0.009997943031935241,0.020817045154123956,0.0,0.013705391909728547,0.8888152143285938,205.64598155021667,0.34017897812175674,0.2851340598577338,-16.181163976664443,-0.05504491826402291,0,,,,
Adult,msbm,0.19175703333612926,0.44502800821754124,0.1927975073172094,0.008168057544055474,0.022650091615407517,0.0,0.011291849663745386,0.8801443706196389,209.73669862747192,0.3352877384645913,0.24183513262090903,-27.872360102292117,-0.09345260584368228,1,,,,
Adult,msbm,0.18252241309662226,0.45924521782196354,0.1756865828748043,0.008603806497495925,0.017928455722567023,0.0,0.01576326380493707,0.8851557897730317,209.51797461509705,0.33396392803030894,0.2642960936757823,-20.860886014073937,-0.06966783435452667,2,,,,
Adult,msbm,0.18343688495873553,0.41035468544655024,0.1671671532943678,0.008799622871433654,0.015074015005812548,0.0,0.01516323415671676,0.8713466788406098,195.39188385009766,0.3372036328141548,0.2643473420191206,-21.606021912340413,-0.0728562907950342,3,,,,
Adult,msbm,0.19038843740459097,0.40858884281859814,0.2795441657578274,0.008916714955611527,0.04458100386592974,0.0,0.02505347782327371,0.8880217306442696,198.79460906982422,0.3436255008243944,0.27598039842789374,-19.6857049998364,-0.06764510239650068,4,,,,
Adult,msbm,0.18932810180126697,0.437701387006039,0.1953682842424073,0.008897228980106364,0.024210122272768156,0.0,0.016195443471680292,0.8826967568412287,203.8174295425415,0.33805195565104124,0.26631860532028784,-21.241227401041463,-0.07173335033075334,mean,,,,
Credit Approval,msbm,0.4084907668356948,1.2380692336398404,1.5511361623470044,0.048189724617616725,,,0.041428175274015315,1.6865332386181027,7.815260648727417,0.8769953051643193,0.387258064516129,-55.842629688471376,-0.48973724064819035,0,,,,
Credit Approval,msbm,0.4651776268990391,0.9697042087529214,0.888164967996027,0.059296575474215296,,,0.0932137084190825,1.6719684082909436,7.735257387161255,0.8845272374684139,0.4151785714285714,-53.062093077331916,-0.4693486660398425,1,,,,
Credit Approval,msbm,0.40164843454623206,1.0599823922896807,1.3078211131858073,0.06360153525130663,,,0.07749334258449098,1.6239362720894661,7.781101703643799,0.8387550553894848,0.4625070741369553,-44.857909211386485,-0.3762479812525295,2,,,,
Credit Approval,msbm,0.4116951492840016,1.567387294623064,1.1842106628741287,0.04181888800753075,,,0.050314443962136614,1.6707804567622702,8.057561874389648,0.8534211619488458,0.5076923076923077,-40.51093055473836,-0.3457288542565381,3,,,,
Credit Approval,msbm,0.40877755378107644,1.2373208298797007,1.5479183128800034,0.07678968790452423,,,0.05425439684925052,1.6728254132382523,7.568840980529785,0.8834498834498834,0.44530332075938406,-49.59495392987447,-0.43814656269049934,4,,,,
Credit Approval,msbm,0.4191579062692088,1.2144927918370414,1.2958502438565944,0.057939282251038726,,,0.0633408134177952,1.6652087577998071,7.791604518890381,0.8674297286841895,0.44358786770666947,-48.773703292360516,-0.42384186097751997,mean,,,,
Online Shoppers,msbm,0.2901147585415802,1.027419833786886,1.639445914938927,0.02288923189086023,0.03354363754588212,0.6124710430192318,0.02765227009837949,0.026675638271365494,88.94215488433838,0.8114339500362615,0.6021430271931498,-25.79272445203443,-0.20929092284311168,0,,,,
Online Shoppers,msbm,0.31315713634622705,1.046700767880637,1.7400451057360138,0.022864460899506445,0.045951955493896204,0.5169598508410903,0.014837279283739136,0.031018913581830322,87.26358294487,0.7818664307828395,0.5965196777102301,-23.70567986747199,-0.1853467530726094,1,,,,
Online Shoppers,msbm,0.3141104666980715,1.0619217734079733,1.8184218123689009,0.023762378845372245,0.02870994264071391,0.5167283353022594,0.010811067630425757,0.02893687778994715,88.05649042129517,0.8011632407327771,0.5502277422588413,-31.321394407014957,-0.2509354984739358,2,,,,
Online Shoppers,msbm,0.28895583837775024,1.078142313069932,1.4990464305430224,0.025184239189642077,0.04159293785496054,0.5568742540302761,0.029385808786969655,0.03641337963328761,88.8141508102417,0.8024777727420664,0.580432838142646,-27.66991711691813,-0.22204493459942043,3,,,,
Online Shoppers,msbm,0.29667128359305284,1.0228596058296948,1.6436679698156078,0.02621387385337648,0.03716141542263082,0.5420896602161585,0.019327822415083427,0.036026128015831556,85.64945673942566,0.7916479528991146,0.5730315413780145,-27.61535739724953,-0.21861641152110012,4,,,,
Online Shoppers,msbm,0.30060189671133636,1.0474088587950245,1.6681254466804945,0.024182836935751496,0.03739197779161672,0.5490246286818032,0.020402849642919496,0.03181418745845242,87.74516716003419,0.7977178694386118,0.5804709653365764,-27.22101464813781,-0.21724690410203545,mean,,,,
