dataset,model,Continuous_Mean_WD_mean,Continuous_Mean_WD_std,Continuous_Mean_WD_summary,Continuous_Mean_KL_50bins_mean,Continuous_Mean_KL_50bins_std,Continuous_Mean_KL_50bins_summary,Continuous_Corr_Pearson_mean,Continuous_Corr_Pearson_std,Continuous_Corr_Pearson_summary,mmd_mean,mmd_std,mmd_summary,Discrete_Mean_KL_mean,Discrete_Mean_KL_std,Discrete_Mean_KL_summary,Discrete_Corr_Spearman_mean,Discrete_Corr_Spearman_std,Discrete_Corr_Spearman_summary,Categorical_Mean_KL_mean,Categorical_Mean_KL_std,Categorical_Mean_KL_summary,Categorical_NMI_mean,Categorical_NMI_std,Categorical_NMI_summary,fit_time_mean,fit_time_std,fit_time_summary,tstr_f1_real_mean,tstr_f1_real_std,tstr_f1_real_summary,tstr_f1_synth_mean,tstr_f1_synth_std,tstr_f1_synth_summary,tstr_f1_deviation_%_mean,tstr_f1_deviation_%_std,tstr_f1_deviation_%_summary,tstr_f1_diff_raw_mean,tstr_f1_diff_raw_std,tstr_f1_diff_raw_summary
Breast cancer,msbm,,,nan ± nan,,,nan ± nan,,,nan ± nan,,,nan ± nan,0.05575078303891614,0.07804927767513647,0.0558 ± 0.0780,0.0,0.0,0.0000 ± 0.0000,0.1369675721431557,0.1157341073722963,0.1370 ± 0.1157,0.9019079369802532,0.03410718959316951,0.9019 ± 0.0341,1.0490571975708007,0.07348903297891887,1.0491 ± 0.0735,0.6349490736034834,0.05778543047918707,0.6349 ± 0.0578,0.414374766703994,0.002284239306399618,0.4144 ± 0.0023,34.33742011041799,5.547204720436276,34.3374 ± 5.5472,0.22057430689948934,0.058048893512854624,0.2206 ± 0.0580
Car Evaluation,msbm,,,nan ± nan,,,nan ± nan,,,nan ± nan,,,nan ± nan,,,nan ± nan,,,nan ± nan,0.00583187869848142,0.001510983211344534,0.0058 ± 0.0015,0.11013815011999921,0.012459920025155261,0.1101 ± 0.0125,10.042074203491211,0.7718113903220153,10.0421 ± 0.7718,0.9776481389503708,0.027811229633041203,0.9776 ± 0.0278,0.46794629355763107,0.06885940271858183,0.4679 ± 0.0689,52.078158395059475,7.4400025466370066,52.0782 ± 7.4400,0.5097018453927398,0.07817785682368505,0.5097 ± 0.0782
Lymphography,msbm,,,nan ± nan,,,nan ± nan,,,nan ± nan,,,nan ± nan,0.18110964877694533,0.06804932279285132,0.1811 ± 0.0680,1.0278761302083117,0.13171176234097715,1.0279 ± 0.1317,0.12475971884476647,0.0272817713943214,0.1248 ± 0.0273,1.8920695900575957,0.36018182746095323,1.8921 ± 0.3602,1.0314987659454347,0.03504622746681803,1.0315 ± 0.0350,0.6211916738232528,0.23946874622091738,0.6212 ± 0.2395,0.29483884628144325,0.09650067105224874,0.2948 ± 0.0965,49.97789945255162,14.30803737616239,49.9779 ± 14.3080,0.3263528275418094,0.19387776743639146,0.3264 ± 0.1939
Mushroom,msbm,,,nan ± nan,,,nan ± nan,,,nan ± nan,,,nan ± nan,,,nan ± nan,,,nan ± nan,0.00870395243238674,0.0024699924841581514,0.0087 ± 0.0025,2.628514450697003,0.1934641695914335,2.6285 ± 0.1935,64.4939151763916,5.707903548397493,64.4939 ± 5.7079,1.0,0.0,1.0000 ± 0.0000,0.956389173501093,0.007360395952394246,0.9564 ± 0.0074,4.361082649890711,0.7360395952394252,4.3611 ± 0.7360,0.04361082649890706,0.007360395952394237,0.0436 ± 0.0074
Student Perf,msbm,0.3400001591260786,0.035245254646786184,0.3400 ± 0.0352,1.8389669193801104,0.3548126578033632,1.8390 ± 0.3548,0.0,0.0,0.0000 ± 0.0000,0.05051827677287166,0.015014571144694105,0.0505 ± 0.0150,0.06646062317962852,0.03372730458247719,0.0665 ± 0.0337,3.5195964944979066,0.2598075551068919,3.5196 ± 0.2598,0.01772885261584986,0.004958139353496943,0.0177 ± 0.0050,0.4232195660089366,0.07457037967274599,0.4232 ± 0.0746,6.068727302551269,0.272263900669276,6.0687 ± 0.2723,0.33758075314004554,0.03030504738666451,0.3376 ± 0.0303,0.0496859730134253,0.02223792300308127,0.0497 ± 0.0222,85.5713310462144,5.4565640919267935,85.5713 ± 5.4566,0.2878947801266202,0.017527152466199684,0.2879 ± 0.0175
